X,Y,fid,fclass,population,name,icon_url
8.2603257,35.6480159,"296",town,"20170",Aïn Zerga,./2.png
6.5047333,34.6830199,"297",town,"21541",Zeribet El Oued,./2.png
5.9107849,34.7497613,"298",town,"33509",Sidi Okba,./1.png
7.7527115,35.2706778,"299",town,"75344",Cheria الشريعة,./0.png
7.8454765,36.7008806,"300",town,"46341",Besbes,./0.png
6.5842202,36.9304439,"301",town,"27177",Kerkera,./2.png
6.4146079,35.4323373,"302",town,"18116",Oued Taga,./4.png
6.4705695,35.4938565,"303",town,"11828",Timgad,./4.png
6.9235555,35.4956337,"304",town,"34383",Kaïs,./1.png
6.8087111,35.5107604,"305",town,"10748",Taouzient,./3.png
3.9068512,35.3814589,"306",town,"0",Sidi Ameur,./3.png
3.3640573,35.3506602,"307",town,"30451",Had Sahary,./1.png
1.1302226,35.7813973,"308",town,"12253",Aïn Tarek,./4.png
1.1081265,35.8702048,"309",town,"28962",Ammi Moussa,./1.png
0.7483582,36.1246927,"310",town,"30744",Mediouna,./1.png
0.8442389,36.1433373,"311",town,"20096",Sidi M'hamed Ben Ali,./2.png
0.8801926,36.1262742,"312",town,"26044",Mazouna,./2.png
0.294879,35.9990969,"313",town,"38823",Aïn Tedles,./1.png
0.4206226,36.0997945,"314",town,"37230",Sidi Ali,./1.png
1.496745,35.186167,"315",town,"0",Sougueur السوقر,./3.png
1.5507838,34.846403,"316",town,"28595",Aïn Deheb,./1.png
0.7594249,35.7205041,"317",town,"30027",Zemmora,./1.png
0.8644816,35.6507899,"318",town,"15127",Mendes,./4.png
1.0237833,35.53032,"319",town,"24983",Rahouia,./2.png
0.687517,35.4552913,"320",town,"21278",Oued El Abtal,./2.png
-0.208054,34.921672,"321",town,"17355",Youb,./4.png
0.475625,34.9895932,"322",town,"19711",Balloul,./2.png
-0.9711585,35.3790296,"323",town,"35158",حمام بوحجر,./1.png
-1.0959775,35.3899817,"324",town,"18944",المالح,./2.png
-1.1020618,35.3367018,"325",town,"14730",Chaâbat El Leham,./4.png
-0.2588196,35.5621748,"326",town,"11140",Oggaz عقاز,./3.png
-0.5120201,35.3671349,"327",town,"16013",Aïn El Berd,./4.png
-0.410225,35.517616,"328",town,"21850",Zahana,./2.png
-0.567467,35.260678,"329",town,"10371",Sidi Brahim,./3.png
-1.9323444,34.9431769,"330",town,"0",Sidi Boudjenane,./3.png
-1.74805,35.0107602,"331",town,"32498",Nedroma,./1.png
6.3581086,36.1180204,"332",town,"48028",Teleghma,./0.png
6.7022898,35.9233662,"333",town,"32377",Aïn Kercha,./1.png
5.0319396,35.9445677,"334",town,"51482",Ras El Oued,./0.png
5.0769769,36.396686,"335",town,"15715",Maoklane,./4.png
4.470196,36.3378593,"336",town,"9526",Ighil Ali,./3.png
4.4866713,36.368882,"337",town,"14563",Guendouz قندوز,./4.png
4.669174,36.1311024,"338",town,"22402",Medjana,./2.png
2.5312873,34.4486677,"339",town,"0",El Idrissia,./3.png
3.2238301,34.3550616,"340",town,"28406",Aïn El Ibel,./1.png
3.784909,34.5286598,"341",town,"32501",Faïdh El Botma,./1.png
4.0907504,34.9930304,"342",town,"13948",Djebel Messaad,./4.png
4.0879174,35.1308796,"343",town,"0",El Hamel الهامل,./3.png
0.5463928,32.896484,"344",town,"24949",El Abiodh Sidi Cheikh الأبيض سيدي الشيخ,./2.png
-2.2043971,35.0817992,"345",town,"6212",Marsa Ben M'Hidi مرسى بن مهيدي,./3.png
-2.0995852,34.9747704,"346",town,"0",Boukanoun بوكانون,./3.png
-1.9158423,34.9221475,"347",town,"9513",Souani السواني,./3.png
5.4095661,36.2837674,"348",town,"18087",El Ouricia,./4.png
5.5069356,36.3648446,"349",town,"24075",Aïn El Kebira,./2.png
0.2566146,35.7502319,"350",town,"31469",Bouguirat,./1.png
0.1693314,35.8372794,"351",town,"25196",Mesra,./2.png
-0.1652125,35.7948853,"352",town,"13153",Mers El Hadjadj,./4.png
-0.5300619,35.0199515,"353",town,"10049",Tenira,./3.png
3.265101,36.1255019,"354",town,"15536",Souagui السواقي,./4.png
2.5646996,36.4773708,"355",town,"29566",Ahmer El Aïn,./1.png
5.3830752,34.73212,"356",town,"55809",Tolga,./0.png
6.0604297,31.6957444,"357",town,"45147",Hassi Messaoud,./0.png
2.9694782,19.9541906,"358",town,"8700",Tinzaouatine,./3.png
5.7371562,36.3146187,"359",town,"24145",Djemila,./2.png
5.8941024,36.3959678,"360",town,"21013",Aïn Beida Harriche,./2.png
5.8787288,36.5016155,"361",town,"17378",Tassadane Haddada,./4.png
8.0346837,35.7449518,"362",town,"10701",Boukhadra,./3.png
7.8727514,36.8303087,"363",town,"34378",Echatt,./1.png
-1.0145245,35.5248267,"364",town,"0",العمرية,./3.png
3.0401832,36.7474259,"365",town,"31133",Hydra,./1.png
2.7911348,33.7447402,"366",town,"10787",Kheneg,./3.png
3.0265016,35.0721457,"367",town,"86421",Hassi Bahbah,./0.png
2.8431693,35.7030326,"368",town,"13617",Boughezoul,./4.png
1.5480772,35.7480295,"369",town,"25217",Lardjem,./2.png
1.6170851,35.8505025,"370",town,"20864",Bordj Bou Naama,./2.png
2.3129403,35.2143453,"371",town,"52753",Ksar Chellala,./0.png
2.3093354,34.894093,"372",town,"18722",Zmalet El Emir Abdelkader,./2.png
2.886115,36.5264595,"373",town,"17297",Guerouaou,./4.png
-0.4671047,35.726419,"374",town,"13905",Hassi Ben Okba,./4.png
-0.4117684,35.6791406,"375",town,"11872",Boufatis,./4.png
-0.4186546,35.6937209,"376",town,"23254",Ben Freha,./2.png
-0.5798446,35.6186807,"377",town,"25636",El Kerma,./2.png
-0.6241804,35.6500999,"378",town,"97500",Es-Senia,./0.png
-0.4979622,35.6912811,"379",town,"63581",Hassi Bounif,./0.png
-0.4522604,35.5519239,"380",town,"19384",وادي تليلات,./2.png
-0.8998452,35.5729399,"381",town,"23920",Boutlélis بوتليليس,./2.png
-0.8811572,35.4058264,"382",town,"15683",عين الأربعاء,./4.png
3.5918611,36.6678481,"383",town,"23621",Beni Amrane,./2.png
-0.0885759,35.561548,"384",town,"11715",Bouhenni,./4.png
-1.6534421,35.178264,"385",town,"0",Honaine,./3.png
-1.505403,35.2332708,"386",town,"15972",Souk El Tenine سوق الإثنين,./4.png
-1.3296478,34.8730025,"387",town,"49150",Mansourah,./0.png
-1.3739319,35.0472865,"388",town,"13234",Aïn Youcef,./4.png
0.0729531,35.8964789,"389",town,"22016",Mazagran,./2.png
1.7549535,35.4305691,"390",town,"33082",Mahdia,./1.png
1.0544339,35.3848636,"391",town,"16077",مشرع الصفاء,./4.png
3.1153628,36.5534582,"392",town,"29291",Ouled Slama,./1.png
2.4517089,35.8239347,"393",town,"14000",Aziz,./4.png
3.6649705,36.7264659,"394",town,"32580",Isser,./1.png
3.8862283,36.6379122,"395",town,"20426",Aït Yahia Moussa,./2.png
-0.7085452,35.7277218,"396",town,"17957",Mers El Kebir المرسى الكبير,./4.png
2.7900902,36.6737396,"397",town,"22408",Douaouda,./2.png
2.742117,36.6615638,"398",town,"48959",Fouka,./0.png
3.1406529,33.787475,"399",town,"0",Ksar El Hirane,./3.png
7.2676947,36.4602654,"400",town,"16391",Hammam Debagh,./4.png
5.3746744,36.5721683,"401",town,"0",Tamridjet,./3.png
2.5546056,36.1655491,"402",town,"13353",Oued Chorfa,./4.png
2.0795157,36.2027341,"403",town,"36076",Djelida,./1.png
1.8482739,36.3050171,"404",town,"31073",El Amra,./1.png
1.5534446,36.1121742,"405",town,"28821",El Karimia,./1.png
1.3913824,36.1966757,"406",town,"21326",Oum Drou,./2.png
1.2761855,36.0238897,"407",town,"19952",Ouled Ben Abdelkader,./2.png
0.9758629,36.1620671,"408",town,"51326",Aïn Merane,./0.png
0.8518821,36.2545642,"409",town,"23802",Dahra,./2.png
2.6797524,36.625387,"410",town,"15128",Khemisti,./4.png
3.7639006,32.8256322,"411",town,"30200",Berriane,./1.png
3.7049786,32.4856037,"412",town,"35405",Bounoura,./1.png
3.7471239,32.476746,"413",town,"14752",El Atteuf,./4.png
5.3103251,32.1406831,"414",town,"0",N'Goussa,./3.png
5.3915209,31.9392925,"415",town,"19039",Aïn Beïda ⵄⵉⵏ ⵍⴱⴰⵢⴹⴰ عين البيضاء,./2.png
5.3498372,31.9239554,"416",town,"58112",Rouissat,./0.png
4.2268033,32.3936629,"417",town,"10161",Zelfana,./3.png
3.6082436,32.5348228,"418",town,"12643",Dhaïa Ben Dhahoua,./4.png
-1.9027416,35.0006208,"419",town,"6870",مزاورو,./3.png
2.4272954,36.4763774,"420",town,"19916",Merad,./2.png
0.4909404,35.3754274,"421",town,"23716",El Hachem,./2.png
0.141363,35.4247978,"422",town,"13364",Mamounia المامونية,./4.png
0.6639245,36.1115307,"423",town,"0",Beni Zentis,./3.png
0.6355803,36.2445994,"424",town,"34789",Achaacha,./1.png
5.894213,35.3752089,"425",town,"59904",Aïn Touta,./0.png
4.6855035,36.4450868,"426",town,"9123",Bouhamza بوحمزة,./3.png
3.9856422,36.612194,"427",town,"32121",Souk El Khemis,./1.png
4.0824933,36.6188796,"428",town,"21551",At Dwala,./2.png
4.039063,36.6370642,"429",town,"12117",Ait Zmenzer,./4.png
4.2049176,36.523854,"430",town,"10313",Ouacif,./3.png
3.8161128,36.2194302,"431",town,"0",El Hachimia الهاشمية,./3.png
7.0548176,36.8976496,"432",town,"28996",Filfila,./1.png
7.2917539,36.8600024,"433",town,"29162",Ben Azzouz,./1.png
7.0456039,36.4018393,"434",town,"10158",Bordj Sabat,./3.png
6.5133033,37.0017763,"435",town,"18759",Cheraïa,./2.png
6.3424894,36.9949643,"436",town,"10851",Ouled Attia,./3.png
6.6400608,36.626026,"437",town,"0",Beni Oulbane,./3.png
6.5758595,36.6889594,"438",town,"0",Oum Toub,./3.png
6.5668371,36.8081951,"439",town,"21629",Bin El Ouiden,./2.png
6.3925749,35.8953079,"440",town,"23988",Souk Naâmane,./2.png
6.1222084,36.5308069,"441",town,"23299",Bardo,./2.png
4.899182,35.8991893,"442",town,"26042",Bordj Ghedir,./2.png
4.63266,36.4774607,"443",town,"8602",Amalou,./3.png
4.6671349,36.3980867,"444",town,"0",Tamokra,./3.png
5.0378277,36.4988939,"445",town,"16095",Aïn Doukar,./4.png
4.9097421,36.5162044,"446",town,"0",Beni Mouhli,./3.png
4.8684047,36.4684262,"447",town,"13174",Beni Chebana,./4.png
4.8971215,36.7525317,"448",town,"9827",Toudja,./3.png
5.2295267,36.5466688,"449",town,"0",Targregt,./3.png
4.6974299,36.6663065,"450",town,"8400",Tifra ثيفرا,./3.png
4.768617,36.6657298,"451",town,"11825",Ilmaten,./4.png
4.5042534,36.4622509,"452",town,"12387",Ighram ⵉⴴⵔⴰⵎ اغرام,./4.png
4.8224282,36.6084692,"453",town,"13616",Semaoun,./4.png
5.0898734,36.6116043,"454",town,"0",Taguemmount,./3.png
4.8660488,36.5580756,"455",town,"15482",Feraoun,./4.png
-0.6228938,35.1361811,"456",town,"11293",Bellouladi,./3.png
5.9612456,36.7712723,"457",town,"26553",Chekfa,./2.png
6.3706722,35.6258746,"458",town,"18502",El Madher,./4.png
5.5597763,35.4379384,"459",town,"14327",Sefiane,./4.png
5.6322042,35.61043,"460",town,"12473",Ouled Si Slimane,./4.png
5.2676704,35.5082551,"461",town,"22124",Djezzar,./2.png
4.9718744,35.5393686,"462",town,"0",Aïn Khadra,./3.png
3.6793899,35.1467087,"463",town,"21058",Medjedel,./2.png
3.4897249,34.8972924,"464",town,"0",Dar Chioukh,./3.png
4.5309925,33.7200204,"465",town,"23051",أم العظام,./2.png
2.8610493,36.4970451,"466",town,"87131",Ouled Yaïch,./0.png
5.1029298,34.5975449,"467",town,"26455",الدوسن,./2.png
5.0005177,34.3915907,"468",town,"43315",Sidi Khaled,./0.png
6.0988647,35.2648362,"469",town,"13383",Bouzina,./4.png
6.5100105,35.3095106,"470",town,"10240",Ichemoul,./3.png
6.7466351,35.3188013,"471",town,"10614",Bouhmama,./3.png
7.6040482,36.0282758,"472",town,"15000",Oum El Adhaim,./4.png
6.7412657,35.9346179,"473",town,"23159",Hanchir Toumghani,./2.png
7.4688516,35.1887497,"474",town,"14789",El Ogla,./4.png
5.1546938,35.527774,"475",town,"27404",Belaiba,./2.png
4.1704228,35.300042,"476",town,"10716",Aïn Eddis,./3.png
6.7114196,33.5653009,"477",town,"40367",Reguiba,./1.png
6.8264542,33.4037855,"478",town,"10076",Kouinine,./3.png
6.7998514,33.4754769,"479",town,"43934",Taghzout,./0.png
6.7977914,33.4916197,"480",town,"39168",Guemar,./1.png
6.8885733,33.3278311,"481",town,"52000",Bayadha البياضة,./0.png
6.9040129,33.2894337,"482",town,"21965",Robbah الرباح,./2.png
6.9515739,33.2763121,"483",town,"12652",Nekhla النخلة,./4.png
6.930939,33.5625599,"484",town,"24577",Magrane,./2.png
-2.169031,30.1317426,"485",town,"12000",Béni Abbès بني عباس,./4.png
-2.432661,31.5545321,"486",town,"14060",Kenadsa القنادسة,./4.png
3.0584856,36.7763022,"487",town,"75541",Alger Centre,./0.png
3.0496319,36.7644238,"488",town,"67873",Sidi M'Hamed,./0.png
3.0430918,36.7853487,"489",town,"42182",Oued Koreiche وادي قريش,./1.png
-0.2871248,35.8133273,"490",town,"32611",Aïn El Bia,./1.png
2.8126394,36.4638905,"491",town,"35910",Bouarfa,./1.png
7.0836946,35.4642089,"492",town,"0",الحامة,./3.png
3.5518967,33.4165651,"493",town,"11204",Hassi Delaa,./3.png
6.5758657,36.253904,"494",town,"64120",Ali Mendjeli,./0.png
-1.7343057,34.4773665,"495",town,"0",Sidi Boubker ⵙⵉⴷⵉ ⴱⵓⴱⴽⵔ سيدي بوبكر,./3.png
-1.991664,34.859507,"496",town,"11083",Bni Drar ⴱⵏⵉ ⴷⵔⴰⵔ بني درار,./3.png
-1.5578444,35.083108,"497",town,"0",Bordj Arima,./3.png
-1.4318326,35.0617268,"498",town,"46999",Remchi,./0.png
9.5761505,28.0386648,"499",town,"7385",In Amenas ⵉⵏ ⴰⵎⴻⵏⴰⵙ عين أميناس,./3.png
9.484194,24.5538847,"500",town,"15000",Djanet,./4.png
4.8469931,22.8895834,"501",town,"0",Abalessa,./3.png
4.5855564,36.5126727,"502",town,"20000",Hellwan (Timegdal),./2.png
3.0895611,36.6960642,"503",town,"0",Gué de Constantine,./3.png
0.9180664,35.9607535,"504",town,"90685",Oued Rhiou,./0.png
2.9718223,36.6943783,"505",town,"23756",Baba Hassen,./2.png
8.1060862,36.5034174,"506",town,"20215",Bouhadjar,./2.png
2.8409208,36.7123553,"507",town,"51552",Zeralda,./0.png
3.2094611,36.7149768,"508",town,"80033",Dar El Beida,./0.png
4.4141916,36.3498654,"509",town,"0",Boudjellil بوجليل,./3.png
3.0500935,36.7474963,"510",town,"22813",El Mouradia,./2.png
6.701422,36.1788485,"511",town,"26132",Ouled Rahmoune,./2.png
2.8616102,36.523526,"512",town,"34860",Beni Mered,./1.png
6.929106,36.8441177,"513",town,"30404",Hammadi Krouma,./1.png
4.9782915,36.7106296,"514",town,"19345",وادي غير,./2.png
-0.313678,35.856348,"515",town,"85658",Arzew,./0.png
3.0783959,36.7442413,"516",town,"44050",Belouizdad,./0.png
4.4761469,36.6179239,"517",town,"24311",Bouzeguène,./2.png
2.7896358,36.5558374,"518",town,"40710",Oued El Alleug وادي العلايق,./1.png
3.0665715,36.7420067,"519",town,"40301",El Madania,./1.png
3.3317211,36.6505384,"520",town,"75962",Khemis El Khechna خميس الخشنة,./0.png
6.7091586,36.5327005,"521",town,"0",Zighoud Youcef,./3.png
1.5347489,36.185966,"522",town,"41710",Oued Fodda,./1.png
4.6643892,36.881989,"523",town,"0",Beni Ksila بني كسيلة,./3.png
6.8043312,36.7051396,"524",town,"20079",Emdjaz Edchich,./2.png
6.7218765,36.6782798,"525",town,"0",Sidi Mezghich,./3.png
2.226821,36.3047698,"526",town,"44201",Miliana,./0.png
2.0683322,36.2919441,"527",town,"24980",Arib,./2.png
1.6725159,36.2244328,"528",town,"57737",El Attaf,./0.png
6.012687,33.0104035,"529",town,"0",Tamacine,./3.png
5.9744271,32.9417127,"530",town,"14540",Blidet Amor,./4.png
5.5152002,32.6130464,"531",town,"14965",El Hadjira,./4.png
6.0932032,33.1930214,"532",town,"13751",Meggarine,./4.png
5.921089,33.9496809,"533",town,"49793",El M'Ghair,./0.png
5.9892386,33.5304325,"534",town,"50916",Djamâa,./0.png
6.8890251,36.8252292,"535",town,"18002",El Hadaïek,./4.png
5.8392064,36.1303925,"536",town,"24995",Bir El Arch,./2.png
9.8194482,28.6345729,"537",town,"0",Alrar ⴰⵍⵔⴰⵔ الرار,./3.png
0.7761842,35.9062679,"538",town,"20805",El Hamadna,./2.png
0.830558,35.9272152,"539",town,"33835",Djdiouia,./1.png
4.6977077,36.6995991,"540",town,"6653",Taourirt Ighil تاوريرت اغيل,./3.png
5.2759669,36.5476676,"541",town,"0",Bordj Mira,./3.png
-1.86322,35.093863,"542",town,"43774",Ghazaouet الغزوات,./0.png
3.6259116,32.2605169,"543",town,"50280",Metlili Chaanba,./0.png
0.3406103,28.7074429,"544",town,"11784",Aougrout ⴰⵡⴳⵔⵓⵜ أوقروت,./4.png
-0.3021104,27.6060965,"545",town,"0",Fenoughil,./3.png
-0.0251553,26.9612527,"546",town,"16683",سالي,./4.png
-0.2657533,27.7613334,"547",town,"0",تامنطيت,./3.png
-0.2161001,28.3509683,"548",town,"14895",Tsabit ⵜⵙⴰⴱⵉⵜ تسابيت,./4.png
5.3144869,36.1849367,"549",town,"43551",Ain Arnat,./0.png
2.4732963,36.3700317,"550",town,"21509",Boumedfaa,./2.png
4.4203917,36.8930725,"551",town,"16847",Azeffoun,./4.png
5.5111895,35.8178542,"552",town,"37970",Aïn Azal,./1.png
6.0111235,33.4972965,"553",town,"0",Sidi Amrane,./3.png
0.7128356,29.7026797,"554",town,"0",Zaouiet Debagh,./3.png
7.1397687,36.1599089,"555",town,"18894",Tamlouka,./2.png
6.8563693,36.7044252,"556",town,"29764",Salah Bouchaour,./1.png
8.479926,26.504191,"557",town,"17252",Illizi,./4.png
4.4882869,32.7885786,"558",town,"59514",القرارة,./0.png
1.2458048,34.8924859,"559",town,"15293",Medrissa,./4.png
2.9509064,36.7355249,"560",town,"27593",Ouled Fayet,./1.png
3.0166197,36.790372,"561",town,"83797",Bouzareah,./0.png
0.6816434,35.7959797,"562",town,"0",وادي الجمعة,./3.png
5.0275437,36.5405974,"563",town,"0",Tizi Tindjit,./3.png
3.0595865,36.7846766,"564",town,"36762",القصبة,./1.png
-0.0487475,35.3151335,"565",town,"18576",Bouhanifia ⴱⵓⵃⴰⵏⵉⴼⵉⵢⴰ بوحنيفية,./2.png
3.2244016,35.6337386,"566",town,"30913",Birine,./1.png
7.0042609,35.0383313,"567",town,"27428",Chechar,./2.png
-0.1933113,27.2300419,"568",town,"0",Zaouiet Kounta,./3.png
5.8486411,36.7518871,"569",town,"38468",Emir Abdelkader,./1.png
-0.2874884,27.8733807,"570",town,"64781",Adrar,./0.png
4.7103173,36.5637897,"571",town,"0",مسيسنة,./3.png
3.1469178,36.7288713,"572",town,"62555",Mohammadia المحمدية,./0.png
3.1085569,36.7313349,"573",town,"31453",El Magharia,./1.png
3.9571285,36.5407471,"574",town,"61263",Boghni,./0.png
7.7206192,36.8214092,"575",town,"83254",Sidi Amar,./0.png
2.5157705,35.4381272,"576",town,"13661",Sidi Ladjel,./4.png
4.1964738,36.5829452,"577",town,"0",Aït Yenni,./3.png
2.7870809,34.468187,"578",town,"0",Beni Yagoub,./3.png
9.1635246,31.5948858,"579",town,"3205",البرمة,./3.png
0.801238,35.7933416,"580",town,"12364",Beni Dergoun بني درقن,./4.png
-0.9542742,34.9299907,"581",town,"10286",Aïn Tallout,./3.png
6.0391589,36.4581588,"582",town,"27086",Rouached,./2.png
-0.5220152,35.6579939,"583",town,"114050",Sidi Chami,./0.png
-1.2910642,34.9207591,"584",town,"47600",Chetouane,./0.png
3.273666,32.9458855,"585",town,"22133",Hassi R'Mel,./2.png
-0.6944968,35.1651869,"586",town,"25000",Sidi Lahcene,./2.png
4.7739725,36.6155408,"587",town,"0",El Had الحد,./3.png
6.5700192,37.0066244,"588",town,"0",Collo,./3.png
